Entity Type,Medical Device,Regulatory Notes,Context_Multiplier,Estimate Repair Price (USD),Adjusted Estimate Repair Price (USD),Final Estimated Repair Price (USD),Estimate Purchase Price (USD),Annual Maintenance Cost (USD),"Total Cost of Ownership (5 Years, USD)"
Medical laboratory science,Microtome,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,700,700,660,4425,314.96,7750
Medical laboratory science,Cryostat*,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,700,700,670,4575,313.9,7750
Anesthesia technology program,General diagnostic set,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,2200,2200,2125,15250,1032.92,25750
Anesthesia technology program,Examination table,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,2200,2200,2100,15000,1138.21,26000
Anesthesia technology program,Autoclave,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,2200,2200,1400,6750,634.27,13500
Anesthesia technology program,Vital signs monitor,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,2200,2200,2150,15750,1154.04,27000
Anesthesia technology program,ECG,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,2200,2200,460,3275,256.87,5750
Perfusionist training,General diagnostic set,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1564.711538,1500,11000,783.12,18750
Perfusionist training,Examination table,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1564.711538,1525,10500,794.68,18250
Perfusionist training,Autoclave,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1564.711538,1400,6750,602.99,13250
Perfusionist training,Vital signs monitor,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1564.711538,1550,10750,831.7,18750
Perfusionist training,ECG,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1564.711538,460,3150,259.67,5500
Genetic counseling program,General diagnostic set,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1942.438525,2025,13750,884.37,23250
Genetic counseling program,Examination table,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1942.438525,1925,13000,942.66,22500
Genetic counseling program,Autoclave,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1942.438525,1425,7250,639.21,14000
Genetic counseling program,Vital signs monitor,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1942.438525,1975,14500,1140.79,25250
Genetic counseling program,ECG,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1942.438525,440,3175,253.68,5500
Clinical research certificate,Examination table,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,400,400,400,2875,187.82,4825
Clinical research certificate,Autoclave,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,400,400,1400,7000,582.09,13500
Clinical research certificate,ECG/EKG,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,400,400,460,3300,268.44,5750
Clinical research certificate,Vital signs monitor,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,400,400,390,2775,224.53,4875
Clinical research certificate,Doppler/ABI,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,400,400,380,2750,205.59,4725
Clinical research certificate,Spirometer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,400,400,380,2550,183.97,4425
Clinical research certificate,Thermometer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,400,400,400,2775,203.12,4800
Clinical research certificate,Otoscope/Ophthalmoscope,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,400,400,400,2800,185.91,4725
Clinical research certificate,Centrifuge,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,400,400,590,3425,231.12,6000
Clinical research certificate,Refrigerator,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,400,400,680,4600,308.55,7750
Clinical research certificate,Defibrillator (AED),HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,400,400,830,4100,333.79,7750
Clinical research certificate,Pulse oximeter,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,400,400,380,2750,184.75,4625
Health policy program,Endoscope (rigid/flexible),HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1710.097477,2425,23250,1507.4,36750
Health policy program,Video tower,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1710.097477,1650,11500,842.29,19750
Health policy program,Suction,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1710.097477,550,3925,382.22,7250
Health policy program,Microscope,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1710.097477,510,3625,249.16,6250
Health policy program,Audiometer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1710.097477,580,3925,292.73,6750
Health policy program,Tympanometer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1710.097477,610,4175,313.44,7250
Health policy program,Portable refrigerator/freezer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1710.097477,700,4700,214.46,7500
Health policy program,Vaccine cold-chain monitors,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1710.097477,1675,12000,887.75,20750
Health policy program,Rapid test readers,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1710.097477,1625,11250,718.82,19000
Health policy program,Autoclave,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1710.097477,1400,7000,640.1,13750
Health policy program,PCR,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1710.097477,1075,7750,507.73,13000
Health policy program,Biosafety cabinet,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1710.097477,1575,11000,828.31,19000
Health policy program,Portable oxygen concentrator,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1710.097477,1725,11500,617.16,19000
Health policy program,Nebulizer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1710.097477,1650,11500,763.12,19500
Health policy program,BP monitor,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1710.097477,1675,12000,889.67,20750
Health policy program,Pulse oximeter,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1710.097477,1675,11500,749.15,19500
Health policy program,Glucose meter,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1710.097477,1675,12000,855.71,20500
Health policy program,CPAP/BiPAP,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1710.097477,1775,10500,699.36,18500
Health policy program,Hospital bed,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1710.097477,1675,11500,824.24,19750
Health policy program,Suction device,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1710.097477,540,3875,361.72,7000
Midwifery program,General diagnostic set,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1961.406926,1875,12750,887.43,21750
Midwifery program,Examination table,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1961.406926,1850,13250,1012.82,23000
Midwifery program,Autoclave,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1961.406926,1375,7250,588.99,13750
Midwifery program,Vital signs monitor,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1961.406926,1875,13250,955.7,22750
Midwifery program,ECG,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1961.406926,440,3000,223.96,5250
Nutrition & dietetics,General diagnostic set,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1413.131188,1350,9250,585.08,15500
Nutrition & dietetics,Examination table,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1413.131188,1425,10000,640.17,16750
Nutrition & dietetics,Autoclave,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1413.131188,1425,6750,550.76,13000
Nutrition & dietetics,Vital signs monitor,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1413.131188,1400,9500,763.94,16750
Nutrition & dietetics,ECG,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1413.131188,440,3100,261.52,5500
Occupational hygiene program,Endoscopy tower,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1939.762846,2575,24500,1858.65,40250
Occupational hygiene program,Gastroscope,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1939.762846,2550,17750,1150.58,30000
Occupational hygiene program,Colonoscope,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1939.762846,2450,16500,1159,28500
Occupational hygiene program,Light source,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1939.762846,890,9250,625.4,14500
Occupational hygiene program,Insufflator,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1939.762846,900,8750,563.22,13750
Occupational hygiene program,Washer-disinfector,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1939.762846,1300,7500,707.14,14250
Occupational hygiene program,Patient monitor,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1939.762846,640,4575,380.35,8000
Infection prevention certification,Endoscope (rigid/flexible),HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1611.629464,2525,26250,1789.21,41500
Infection prevention certification,Video tower,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1611.629464,1625,11500,761.71,19250
Infection prevention certification,Suction,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1611.629464,540,3925,392.76,7250
Infection prevention certification,Microscope,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1611.629464,510,3425,231.02,5750
Infection prevention certification,Audiometer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1611.629464,620,4350,317.29,7500
Infection prevention certification,Tympanometer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1611.629464,580,3950,287.84,6750
Quality & patient safety certificate,Endoscope (rigid/flexible),HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1295.732759,2500,26250,1969.2,42250
Quality & patient safety certificate,Video tower,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1295.732759,1300,9000,673.53,15500
Quality & patient safety certificate,Suction,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1295.732759,540,3950,413.37,7250
Quality & patient safety certificate,Microscope,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1295.732759,500,3425,238.88,5750
Quality & patient safety certificate,Audiometer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1295.732759,600,4100,309.11,7250
Quality & patient safety certificate,Tympanometer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1295.732759,580,3950,276.84,6750
Healthcare cybersecurity program,General diagnostic set,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1957.132035,2000,14000,913.2,23500
Healthcare cybersecurity program,Examination table,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1957.132035,1975,13250,868.54,22500
Healthcare cybersecurity program,Autoclave,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1957.132035,1450,7000,574.81,13500
Healthcare cybersecurity program,Vital signs monitor,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1957.132035,1950,13250,1017.12,23250
Healthcare cybersecurity program,ECG,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1957.132035,450,3100,255.16,5500
Medical device regulatory certificate,General diagnostic set,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1487.559524,1525,10750,792.61,18500
Medical device regulatory certificate,Examination table,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1487.559524,1475,10500,661.73,17500
Medical device regulatory certificate,Autoclave,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1487.559524,1375,6500,544.58,12750
Medical device regulatory certificate,Vital signs monitor,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1487.559524,1525,10750,838.12,18750
Medical device regulatory certificate,ECG,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1487.559524,460,3300,285.47,6000
Telehealth operations course,Portable X-ray,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1434.084158,3525,35500,3709.15,63000
Telehealth operations course,Ultrasound point-of-care,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1434.084158,1225,9500,733.9,16250
Telehealth operations course,Ventilator,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1434.084158,1800,10750,816.28,19250
Telehealth operations course,Defibrillator,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1434.084158,850,4450,381.16,8500
Telehealth operations course,ECG,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1434.084158,450,3250,270.44,5750
Telehealth operations course,Infusion pump,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1434.084158,1450,9750,655.92,16750
Telehealth operations course,Capnograph,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1434.084158,1400,9500,623.71,16000
Telehealth operations course,Video laryngoscope,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1434.084158,1400,9750,713.38,16750
Telehealth operations course,Suction,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1434.084158,550,3775,351.41,7000
Telehealth operations course,Crash cart,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1434.084158,1425,10000,646.79,16750
Hospital facilities management,MRI scanner,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,23250,587500,63921.92,965000
Hospital facilities management,CT scanner,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,11250,197000,19042.74,320500
Hospital facilities management,Digital X-ray system,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,4425,45500,4372.85,78500
Hospital facilities management,C-arm fluoroscopy,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,9000,86000,8561.78,151500
Hospital facilities management,Ultrasound cart,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,1450,11000,952.95,19500
Hospital facilities management,Anesthesia machine,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,2750,19750,1632.23,34750
Hospital facilities management,Ventilator,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,2275,13750,1019.95,24500
Hospital facilities management,Patient monitor,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,790,5750,444.85,10000
Hospital facilities management,Infusion pump,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,3525,24000,1526.23,40500
Hospital facilities management,Syringe pump,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,3600,25250,1799.75,43250
Hospital facilities management,Defibrillator,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,1075,5250,455.19,10250
Hospital facilities management,ECG/EKG,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,570,4150,350.26,7250
Hospital facilities management,Autoclave/Steam sterilizer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,1750,8750,750.89,17000
Hospital facilities management,Washer-disinfector,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,1600,10000,1059.92,19250
Hospital facilities management,Surgical lights,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,1100,5500,528.24,11000
Hospital facilities management,Operating table,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,1700,8500,818.1,16750
Hospital facilities management,Electrosurgical unit (ESU),HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,1225,6250,686.51,12750
Hospital facilities management,Suction regulator,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,270,1825,195.13,3475
Hospital facilities management,Blood gas analyzer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,3425,24250,1743.55,41500
Hospital facilities management,PACS/RIS workstation,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,1475,10250,695.92,17500
Hospital facilities management,NIBP monitor,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,3400,24250,1860.8,42000
Hospital facilities management,Pulse oximeter,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,3500,24000,1683.43,41250
Hospital facilities management,Thermometer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,3400,22750,1685.27,39750
Hospital facilities management,Laboratory centrifuge,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,750,4725,298.12,8000
Hospital facilities management,Refrigerator/Freezer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,880,6250,418.38,10500
Hospital facilities management,Crash cart,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,3450,25000,1583.5,41500
Hospital facilities management,Bedside ultrasound,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,1500,12000,975.68,20750
Hospital facilities management,Endoscopy stack,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,3175,33000,2256.49,52000
Hospital facilities management,Laryngoscope,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,3475,24500,1701.15,41750
Hospital facilities management,Wheelchairs/Stretchers,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,3500,23500,1378.31,39250
Hospital facilities management,Nurse call system,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,3450,24500,1858.08,42500
Hospital facilities management,Endoscope (rigid/flexible),HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,3150,31750,2392.1,51500
Hospital facilities management,Video tower,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,3525,23500,1683.37,40750
Hospital facilities management,Suction,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,680,5000,488.32,9250
Hospital facilities management,Microscope,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,630,4400,300.38,7500
Hospital facilities management,Audiometer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,730,5250,357.97,8750
Hospital facilities management,Tympanometer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1.25,,3526.654412,750,5000,370.95,8750
Medical writing certificate,General diagnostic set,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,2031.125,2000,13750,1038.96,24000
Medical writing certificate,Examination table,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,2031.125,2000,14250,1092.53,24750
Medical writing certificate,Autoclave,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,2031.125,1375,6500,561.19,12750
Medical writing certificate,Vital signs monitor,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,2031.125,1975,13250,977.61,23000
Medical writing certificate,ECG,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,2031.125,460,3200,254.48,5500
Medical interpreter program,Portable X-ray,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1963.019301,3450,34250,3722.15,61500
Medical interpreter program,Ultrasound point-of-care,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1963.019301,1200,9500,764.91,16250
Medical interpreter program,Ventilator,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1963.019301,1775,10750,871.42,19500
Medical interpreter program,Defibrillator,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1963.019301,840,4100,337.67,8000
Medical interpreter program,ECG,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1963.019301,440,3175,264.69,5500
Medical interpreter program,Infusion pump,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1963.019301,1975,14500,979.47,24250
Medical interpreter program,Capnograph,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1963.019301,1925,13750,926.35,23250
Medical interpreter program,Video laryngoscope,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1963.019301,2000,13500,1027.89,23750
Medical interpreter program,Suction,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1963.019301,540,3800,377.94,7000
Medical interpreter program,Crash cart,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1963.019301,2025,14750,944.87,24500
Palliative care certificate,Portable X-ray,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1373.676199,3475,34500,3411.92,60000
Palliative care certificate,Ultrasound,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1373.676199,1175,9250,756.92,16000
Palliative care certificate,ECG/EKG,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1373.676199,460,3350,272.25,5750
Palliative care certificate,Defibrillator,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1373.676199,840,4100,306.64,7750
Palliative care certificate,Patient monitor,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1373.676199,670,4500,331.46,7750
Palliative care certificate,Autoclave,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1373.676199,1350,6500,534.53,12500
Palliative care certificate,Nebulizer,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1373.676199,1375,9250,614.07,15750
Palliative care certificate,Suction,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1373.676199,560,3900,390.36,7250
Palliative care certificate,Pulse oximeter,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1373.676199,1350,9750,644.45,16250
Wilderness medicine course,Portable X-ray,HIPAA; OSHA; EU MDR (2017/745); ISO 13485; ISO 14971; WHO PQ (as applicable),1,,1558.658333,3475,36250,3560.71,62500
